iso3,gcm,scenario,variable,from_year,to_year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
ARG,bccr_bcm2_0,a2,tas,2020,2039,68.766520334,68.307015056,64.462575596,57.572903966,49.82126459,44.5731627236,43.8113496038,46.308760656800004,50.691269804,55.617547783999996,61.85846246,66.704147816
ARG,bccr_bcm2_0,b1,tas,2020,2039,68.776525292,68.25686986400001,63.949160714,57.937769438000004,50.112733981999995,44.2226486786,43.1407853348,46.2392547026,50.782691894,56.083467920000004,62.04900713000001,66.672946112
ARG,bccr_bcm2_0,a2,tas,2040,2059,69.78041951,69.86238967400001,65.389081154,58.950854132,50.591877872,45.715150333400004,44.9661246674,47.6376558152,51.899223973999995,56.854907294,63.301149572,68.01279854
ARG,bccr_bcm2_0,b1,tas,2040,2059,69.39514376599999,69.048168602,64.98046792400001,57.890083496,50.619956378,44.920283684,44.034246356,47.3909604584,50.638420814,56.193203912,62.423995334000004,67.129376288
ARG,bccr_bcm2_0,a2,tas,2060,2079,71.21935014799999,71.077974062,66.95654655199999,59.311954670000006,51.638745524,46.0620066722,45.590307089,49.3727044334,53.574436724,58.18239059,64.417957358,69.53762429599999
ARG,bccr_bcm2_0,b1,tas,2060,2079,70.327696586,69.830227724,65.442237566,58.60105367,51.498911228,45.495701600000004,44.4062936048,47.4284349302,52.408449788,57.3813716,63.070094408,67.82616248
ARG,bccr_bcm2_0,a2,tas,2080,2099,73.24061478799999,73.021779806,68.72451296,61.641956264,54.069277838,48.408063096199996,47.5236245966,51.119343104,55.114182752000005,60.499727797999995,66.45802184600001,71.224420226
ARG,bccr_bcm2_0,b1,tas,2080,2099,70.293651638,69.90271318399999,65.925743756,58.880258006,51.053294138,46.4204440778,44.8264921334,48.63110879840001,52.165733270000004,57.701242238,63.88712915,68.12150984600001
AUS,bccr_bcm2_0,a2,tas,2020,2039,80.072354012,79.04724292399999,76.86938647400001,72.645618416,66.388361324,60.438529058,58.925437988,61.557569582,66.438028076,72.13209423800001,76.467044192,78.343867436
AUS,bccr_bcm2_0,b1,tas,2020,2039,79.706175782,79.263175784,77.142110594,72.461036858,66.373119878,59.726152346,58.030192634,61.05644312,66.224280038,72.275643302,75.934224608,78.197442386
AUS,bccr_bcm2_0,a2,tas,2040,2059,80.625047846,79.977844976,78.144191402,74.03480175199999,67.52772779,60.734151608000005,59.121419918,61.855643318,66.90947192600001,73.471738766,77.20270703599999,79.386978272
AUS,bccr_bcm2_0,b1,tas,2040,2059,80.389620608,79.63545191,77.45814818599999,73.3001018,66.622848152,60.221596442,58.662726566,61.777299074,67.40438158399999,73.02292480400001,76.480562984,78.664843022
AUS,bccr_bcm2_0,a2,tas,2060,2079,81.90311621000001,81.27058667,79.28380835600001,75.11565795800001,68.605141352,61.910153564,60.226302974,63.50875367,69.034425782,75.17245629199999,78.872269784,80.675750984
AUS,bccr_bcm2_0,b1,tas,2060,2079,80.569332284,80.714494634,78.371506598,73.82193188,66.95978369,61.138093514000005,59.589011479999996,62.481164558,67.71369140600001,73.864466546,77.224019036,79.598832512
AUS,bccr_bcm2_0,a2,tas,2080,2099,83.877436274,83.110786862,81.73167333800001,77.265306158,70.003952384,63.741068366,62.171004398,65.58417725000001,71.28486914,77.767163582,80.791245608,83.09277662
AUS,bccr_bcm2_0,b1,tas,2080,2099,81.58414526600001,80.841215336,79.101527828,74.334998534,68.17434863,61.616367194,60.293435054,63.076552484000004,68.311906736,74.533439462,78.016870364,80.198843756
AUT,bccr_bcm2_0,a2,tas,2020,2039,29.7774658202,29.4048195584,32.6690973464,40.9274203208,53.05584218,61.647120806000004,66.55046885600001,63.736910186,54.348348722,45.9333756878,36.9868890938,33.2356323236
AUT,bccr_bcm2_0,b1,tas,2020,2039,29.1171825068,29.7605568632,32.2615345352,40.4139692822,51.739480310000005,62.57318837,66.78438776600001,64.865031296,55.048537382,47.0614468658,36.1348394216,33.1593322748
AUT,bccr_bcm2_0,a2,tas,2040,2059,31.644067937,30.4932250976,34.7484846632,42.73727306,52.26491145200001,63.286870226000005,67.85193426800001,64.153586642,54.680335574,47.1840393074,39.0072898166,32.7411476834
AUT,bccr_bcm2_0,b1,tas,2040,2059,30.627393132199998,30.7498257716,32.5666348538,40.397609642,51.863201348000004,62.762318006,67.38482055200001,63.369772069999996,54.119094008000005,48.4641213152,37.7100941054,32.6161781996
AUT,bccr_bcm2_0,a2,tas,2060,2079,33.1642062104,31.4123612846,35.6935585712,44.856705543800004,54.489288326,64.930959248,69.146173652,66.626179646,56.67731546,47.9655068144,40.228634921,34.070743076
