date,"Buenos Aires, Argentina","Luján de Cuyo, Argentina","Mendoza, Argentina","Mendoza Province, Argentina","San Juan, Argentina","Tupungato, Argentina","Uco Valley, Argentina","Adelaide Hills, Australia","South Australia, Australia","Burgenland, Australia","Niederösterreich, Australia","Südsteiermark, Australia","Vulkanland Steiermark, Australia","Wachau, Australia","Thracian Valley, Bulgaria","Lake Erie North Shore, Canada","Aconcagua Costa, Chile","Bío Bío Valley, Chile","Casablanca Valley, Chile","Central Valley, Chile","Colchagua Valley, Chile","Curicó Valley, Chile","Elqui Valley, Chile","Leyda Valley, Chile","Leyda Valley-Maipo Valley, Chile","Lolol Valley, Chile","Maipo Valley, Chile","Malleco, Chile","Maule Valley, Chile","Rapel Valley, Chile","San Antonio, Chile","San Antonio-Maipo Valley, Chile","Atlantique, France","Blaye Côtes de Bordeaux, France","Bordeaux Blanc, France","Côtes de Gascogne, France","Menetou-Salon, France","Pays d'Oc, France","Pessac-Léognan, France","Pouilly-Fumé, France","Saint-Bris, France","Sancerre, France","Touraine, France","Val de Loire, France","Pfalz, Germany","Galilee, Israel","Upper Galilee, Israel","Castel del Monte, Italy","Collio, Italy","Isonzo del Friuli, Italy","Awatere Valley, New Zealand","Marlborough, New Zealand","Martinborough, New Zealand","Nelson, New Zealand","Waipara, New Zealand","Waipara Valley, New Zealand","Wairau Valley, New Zealand","Alentejano, Portugal","Lisboa, Portugal","Península de Setúbal, Portugal","Tejo, Portugal","Dealu Mare, Romania","Tarnave, Romania","Coastal Region, South Africa","Constantia, South Africa","Durbanville, South Africa","Hemel en Aarde, South Africa","Robertson, South Africa","Stellenbosch, South Africa","Upper Hemel en Aarde Valley, South Africa","Western Cape, South Africa","Jumilla, Spain","La Mancha, Spain","Navarra, Spain","Rueda, Spain","Vino de la Tierra de Castilla, Spain","Vino de la Tierra de Castilla y León, Spain","Adelaida District, US","Alexander Valley, US","Amador County, US","Ancient Lakes, US","Anderson Valley, US","Arroyo Seco, US","Bennett Valley, US","Calistoga, US","Carneros, US","Central Coast, US","Columbia Gorge (OR), US","Columbia Valley (WA), US","Coombsville, US","Dry Creek Valley, US","El Dorado, US","Fiddletown, US","Finger Lakes, US","Happy Canyon of Santa Barbara, US","High Valley, US","Horse Heaven Hills, US","Knights Valley, US","Lake County, US","Livermore Valley, US","Lodi, US","Long Island, US","Los Olivos District, US","Mendocino, US","Mendocino County, US","Mendocino Ridge, US","Middleburg, US","Monterey, US","Monterey County, US","Napa Valley, US","Napa-Sonoma, US","North Coast, US","North Fork of Long Island, US","Northern Sonoma, US","Oak Knoll District, US","Oakville, US","Paso Robles, US","Pine Mountain-Cloverdale Peak, US","Potter Valley, US","Red Hills Lake County, US","Red Mountain, US","Rogue Valley, US","Russian River Valley, US","Rutherford, US","San Bernabe, US","San Luis Obispo County, US","Santa Barbara County, US","Santa Cruz Mountains, US","Santa Margarita Ranch, US","Santa Maria Valley, US","Santa Ynez Valley, US","Sonoma Coast, US","Sonoma County, US","Sonoma County-Lake County, US","Sonoma Valley, US","Southern Oregon, US","St. Helena, US","Temecula Valley, US","Umpqua Valley, US","Willamette Valley, US","Willow Creek, US","Yakima Valley, US"
20160101,58.77419355,51.90322581,51.90322581,51.90322581,42.29032258,51.90322581,51.90322581,50.03225806,32.90322581,78.38709677,88.03225806,89.80645161,79.96774194,88.35483871,84.5483871,88,75.03225806,49.58064516,47.83870968,50.06451613,50.5483871,50.83870968,63.83870968,50.06451613,59.67741935,50.06451613,49,57.58064516,47.83870968,47.83870968,75.03225806,75.03225806,83.25806452,87.03225806,87.03225806,82.06451613,83.80645161,83.25806452,87.03225806,84.01290323,83.19354839,83.93806452,83.72434018,83.92258065,91.19354839,66.87096774,74,89.06451613,72.19354839,81.03225806,74.16129032,75.48387097,78.48387097,75.48387097,72.16129032,72.16129032,75.48387097,81.83870968,76.93548387,76.4516129,84.83870968,84.80645161,85.48387097,34.70967742,61.93548387,61.93548387,77.19354839,58.90322581,58.58064516,77.19354839,64.74193548,66.19354839,78.64516129,83.5483871,84,84,84,84.29032258,87.68387097,,67.58064516,88.35483871,86.19354839,87.51612903,86.96774194,86.80645161,70.4516129,94,93.29032258,86.80645161,77.58064516,84.79032258,71.83870968,86.48387097,70.48387097,64.06451613,92.96774194,87.25806452,90.16129032,,80.90322581,80.35483871,70.5483871,84.16129032,85.90322581,84.16129032,75.77419355,86.61290323,86.19354839,86.67741935,86.67741935,86.51612903,78.25806452,86.96774194,87.16129032,86.91935484,87.01075269,88.87096774,86.70967742,90.16129032,92.48387097,78.03225806,88.87096774,87.25806452,86.61290323,77.93548387,70.48387097,85.48387097,82.87096774,78.38709677,70.5483871,85.87096774,86.5483871,89.03225806,86.94193548,82.38709677,87.25806452,67.77419355,80.96774194,90.12903226,78.22580645,95.48387097
20160201,62.44827586,50.79310345,50.79310345,50.79310345,44.72413793,50.79310345,50.79310345,56.65517241,34.55172414,79.82758621,85.17241379,91.93103448,82.65517241,85.79310345,77.24137931,86.93103448,72.75862069,45.44827586,42.75862069,46.5862069,43.89655172,42.37931034,65.34482759,46.5862069,53.31034483,46.5862069,,57.27586207,42.75862069,42.75862069,72.75862069,72.75862069,81.03448276,,82.17241379,80.17241379,81.86206897,81.03448276,82.17241379,81.90344828,83.62068966,81.68965517,81.11844078,81.45402299,88.24137931,61.79310345,64.5862069,87.03448276,77.68965517,88.75862069,69.51724138,72.31034483,76.82758621,72.31034483,67.06896552,67.06896552,72.31034483,76.10344828,71.89655172,71.13793103,73.96551724,84.68965517,79.86206897,28.51724138,63,63,76.4137931,54.79310345,60.24137931,76.4137931,61.51724138,59.37931034,73.65517241,79.44827586,75.37931034,75.37931034,75.37931034,65.27586207,72.29655172,61.03448276,43.75862069,75.62068966,69.82758621,79.37931034,69.37931034,75.27586207,61.31034483,84.89655172,88.72413793,75.27586207,67.34482759,72.46551724,61.03448276,83.17241379,48.10344828,42.13793103,78.37931034,70.75862069,71.4137931,75.62068966,75.51724138,81.68965517,44,84.44827586,69.66666667,84.44827586,78.82758621,80.68965517,69.82758621,67.82758621,67.82758621,82.31034483,80,75.51724138,71.68965517,69.75862069,72.49425287,74.5862069,67.89655172,71.4137931,78.20689655,69.96551724,74.5862069,70.75862069,81.72413793,57,48.10344828,70.68965517,66.75862069,58.82758621,44,74.51724138,74.66502463,75.20689655,75.05517241,72.03448276,70.75862069,42.68965517,78.72413793,86.55172414,78.86206897,84.27586207
20160301,65.96774194,50.51612903,50.51612903,50.51612903,42.58064516,50.51612903,50.51612903,59.77419355,40.67741935,72.32258065,82.35483871,88.41935484,76.67741935,82.25806452,69.19354839,84.09677419,73.64516129,42.74193548,42.64516129,48,45.96774194,45.19354839,68.12903226,48,56.41935484,48,46.35483871,53.48387097,42.64516129,42.64516129,73.64516129,73.64516129,81.25806452,78.4516129,78.4516129,78.70967742,80.35483871,81.25806452,78.4516129,80.16935484,82.32258065,80.42607527,79.87237027,80.23655914,87.38709677,58.5483871,60.41935484,86.96774194,71.61290323,78.67741935,71.41935484,75.87096774,77.61290323,75.87096774,69.64516129,69.64516129,75.87096774,75.16129032,73.80645161,72.5483871,68.5483871,73.03225806,66.96774194,33.96774194,67.35483871,67.35483871,77.09677419,61.29032258,65.90322581,77.09677419,64.5483871,57.48387097,66.51612903,82.83870968,71.06451613,71.06451613,71.06451613,75.25806452,82.0516129,71.90322581,63.58064516,84.58064516,78.25806452,86.67741935,79.67741935,83.96774194,68.58064516,76.87096774,76.90322581,83.96774194,75.38709677,74.38709677,71.90322581,76.16129032,65.4516129,55.12903226,66.16129032,80.51612903,80.51612903,83.74193548,79.67741935,73.90322581,63.35483871,86.67741935,79.2688172,86.67741935,72.83870968,86.74193548,78.25806452,77.09677419,77.09677419,87.5483871,72.70967742,84.83870968,81.70967742,79.40322581,81.13978495,84.12903226,,80.51612903,64.38709677,72.58064516,84.12903226,80.51612903,87.29032258,74.25806452,65.4516129,81.22580645,76.35483871,77.06451613,63.35483871,82.74193548,83.17741935,84.77419355,83.98709677,77.4516129,80.51612903,66,80.90322581,82.38709677,81.70967742,71.35483871
20160401,75.36666667,64.56666667,64.56666667,64.56666667,56.16666667,64.56666667,64.56666667,60.13333333,41.33333333,63.8,73.63333333,80.7,68.96666667,73.8,55.06666667,81.36666667,74.96666667,62.96666667,50.8,53.8,61.4,62.86666667,64.9,53.8,68.23333333,53.8,53.03333333,71.16666667,50.8,50.8,74.96666667,74.96666667,77.13333333,72.83333333,72.83333333,77.33333333,,77.13333333,72.83333333,78.72666667,79.36666667,78.52435897,77.87971014,78.25,80.16666667,45.16666667,46.13333333,73.66666667,76.33333333,74.1,67.73333333,76,79.06666667,76,71.63333333,71.63333333,76,71.1,74.53333333,73.86666667,71.66666667,66.23333333,63.83333333,38.9,66.63333333,66.63333333,76.13333333,58.13333333,65,76.13333333,58.56666667,62.06666667,66.56666667,77.13333333,74.03333333,74.03333333,74.03333333,64.26666667,72.88,68,58.3,77.13333333,71.13333333,79.7,69.06666667,74.6,60.16666667,68.7,63.1,74.6,67.36666667,63.2,68,73.03333333,62.23333333,48.06666667,55,70.53333333,71.1,75.03333333,71.43333333,68.4,58.2,86.8,70.68888889,86.8,65.8,85.56666667,71.13333333,66,66,83.96666667,67.98333333,76.26666667,72.4,69.2,72.67777778,76.36666667,70.7,71.1,53.53333333,66.66666667,76.36666667,70.53333333,86.2,66.2,62.23333333,71.93333333,66.86666667,,58.2,75.43333333,75.83333333,77.16666667,75.85,69.03333333,70.53333333,60.76666667,79.43333333,78.26666667,82.23333333,56.56666667
20160501,77.35483871,81.80645161,81.80645161,81.80645161,70.70967742,81.80645161,81.80645161,71.32258065,50.83870968,77.5483871,78.12903226,82,76.09677419,78.93548387,63.38709677,84.19354839,75.22580645,67.77419355,43.48387097,45.03225806,58.06451613,64.06451613,60.93548387,45.03225806,64.77419355,45.03225806,44.06451613,81.09677419,43.48387097,43.48387097,75.22580645,75.22580645,,71.64516129,71.64516129,83.03225806,83.16129032,80.48387097,71.64516129,82.9483871,84.16129032,82.75062035,82.19495091,82.43010753,81.03225806,52.09677419,57.38709677,79.29032258,78.51612903,74.90322581,69.80645161,80.29032258,80.09677419,80.29032258,69.80645161,69.80645161,80.29032258,65.70967742,72.83870968,71.83870968,66.38709677,72.87096774,74.77419355,47.29032258,69.90322581,69.90322581,77.4516129,58.22580645,66.70967742,77.4516129,57.67741935,55.22580645,59.06451613,78.25806452,71.03225806,71.03225806,71.03225806,70.03225806,74.73548387,,74.16129032,77.70967742,70.09677419,82.41935484,71.29032258,75.77419355,52.87096774,67.19354839,61.41935484,75.77419355,60.80645161,63.58064516,65.77419355,74.48387097,77.67741935,61.25806452,52.61290323,72.87096774,70.35483871,,66.12903226,74.12903226,66.96774194,91.48387097,71.37634409,91.48387097,79.80645161,91.16129032,70.09677419,66.19354839,66.19354839,87.38709677,75.06451613,78.90322581,75,70.59677419,74.27956989,76.38709677,70.70967742,70.35483871,51.77419355,68.58064516,76.38709677,72.87096774,92,75.64516129,77.67741935,77,73.96774194,,66.96774194,79.16129032,78.78110599,77.38709677,78.70322581,69.03225806,72.87096774,78.64516129,83.25806452,76.5483871,87.16129032,52.80645161
20160601,75.66666667,67.13333333,67.13333333,67.13333333,54.13333333,67.13333333,67.13333333,78.26666667,64.86666667,77.1,75.2,82.23333333,75.86666667,76.66666667,57.43333333,79,67.3,70,42.96666667,42.33333333,56.6,59.9,50.13333333,42.33333333,58.26666667,42.33333333,40.56666667,79.1,42.96666667,,67.3,67.3,84.16666667,75.43333333,75.43333333,89.2,,84.16666667,,89.73333333,91.5,89.48611111,88.97101449,89.22222222,86.53333333,45.8,47.36666667,78.33333333,81.96666667,72.96666667,74.1,83.33333333,84.26666667,83.33333333,77.43333333,77.43333333,83.33333333,48.86666667,68.46666667,66.03333333,45.43333333,74.2,74.66666667,47.93333333,71.3,71.3,70.43333333,66.1,71.5,70.43333333,58.3,48.33333333,35.63333333,77.3,58.33333333,58.33333333,58.33333333,43.06666667,63.39333333,,,73.13333333,50.76666667,75.6,59.3,67.73333333,33.56666667,64.66666667,58.86666667,67.73333333,43.43333333,45.73333333,,71.7,61.06666667,33.53333333,45.66666667,,57.93333333,64.66666667,54.53333333,67.13333333,41.43333333,92.7,63.58888889,92.7,72.53333333,88.33333333,50.76666667,52.3,52.3,84.36666667,70.96666667,70.6,63.96666667,58.13333333,59.24444444,66.43333333,61.03333333,57.93333333,44.56666667,65.13333333,66.43333333,61.4,,51.46666667,61.06666667,62.73333333,47.2,65.6,41.43333333,72.56666667,71.65238095,68.3,70.92666667,66.1,61.4,54.23333333,84.7,73.36666667,88.23333333,47.13333333
20160701,81.25806452,56.29032258,56.29032258,56.29032258,47.09677419,56.29032258,56.29032258,79.70967742,58.74193548,71.22580645,73.58064516,78.87096774,73.19354839,74.48387097,48.29032258,80.83870968,73.22580645,77.67741935,48.93548387,49.29032258,63.5483871,69.67741935,54.48387097,49.29032258,69.35483871,49.29032258,,88,48.93548387,48.93548387,73.22580645,73.22580645,,66.51612903,66.51612903,81.35483871,78.77419355,75.70967742,66.51612903,79.03870968,82.90322581,78.81265509,78.51612903,78.87096774,82.90322581,60.22580645,60.70967742,71.25806452,77.38709677,64.58064516,67.74193548,77.58064516,77.58064516,77.58064516,70.77419355,70.77419355,77.58064516,41.29032258,61.12903226,61.29032258,31.25806452,65.70967742,66.25806452,47.90322581,74,74,72.4516129,71.83870968,75.06451613,72.4516129,61.25806452,50.5483871,28.5483871,72.70967742,45.96774194,45.96774194,45.96774194,52.29032258,61.32258065,37.29032258,50.80645161,66.61290323,52.80645161,74.4516129,58.4516129,69.4516129,29.4516129,71,64.58064516,69.4516129,33.87096774,40.30645161,37.29032258,70.4516129,67.96774194,32.09677419,47.19354839,61.16129032,51.5483871,64.96774194,55.41935484,70.41935484,48.32258065,94.58064516,61.98924731,94.58064516,72.87096774,90.06451613,52.80645161,52.16129032,52.16129032,84.32258065,73.48387097,70.22580645,64.29032258,58.22580645,57.77419355,60.25806452,57.25806452,51.5483871,45.38709677,66.38709677,60.25806452,61.16129032,92,57.09677419,67.96774194,67.38709677,54.25806452,69.51612903,48.32258065,72.90322581,70.79493088,63.06451613,71.56451613,67.51612903,61.16129032,54.12903226,89,72.67741935,90.35483871,49.41935484
20160801,71.90322581,38.5483871,38.5483871,38.5483871,31.67741935,38.5483871,38.5483871,70.87096774,48.83870968,67,73.96774194,80.22580645,72.06451613,74.96774194,49.5483871,81.80645161,72.19354839,77.12903226,36.67741935,42.06451613,62,67.67741935,49.96774194,42.06451613,65.83870968,42.06451613,,85.22580645,36.67741935,36.67741935,72.19354839,72.19354839,66.12903226,60.77419355,60.77419355,73,64.64516129,66.12903226,,65.21290323,69.83870968,65.09677419,65.21407625,65.37419355,80.58064516,60.87096774,64.61290323,71.19354839,78.70967742,63.77419355,75.41935484,79.06451613,82.41935484,79.06451613,78.32258065,78.32258065,79.06451613,42.19354839,61.96774194,61.58064516,29.77419355,64.35483871,64.03225806,34.06451613,74.58064516,74.58064516,76.83870968,64.32258065,73.5483871,76.83870968,51.41935484,57.19354839,28.74193548,63.80645161,40.5483871,40.5483871,40.5483871,57.61290323,62.41935484,35.32258065,52.16129032,60.48387097,52.16129032,75.25806452,59.25806452,69.96774194,28.96774194,59.77419355,56.03225806,69.96774194,30.83870968,33.56451613,35.32258065,71.09677419,66.90322581,33.48387097,40.58064516,61.77419355,43.61290323,65.41935484,58.19354839,69.16129032,46.51612903,93.80645161,57.8172043,93.80645161,72.58064516,89.93548387,52.16129032,51.96774194,51.96774194,83.87096774,71.66129032,70.87096774,65.09677419,58.53225806,57.37634409,57.19354839,48.67741935,43.61290323,39.41935484,52.5483871,57.19354839,61.77419355,91.32258065,60.06451613,66.90322581,67.90322581,58.25806452,73.4516129,46.51612903,75.16129032,72.23041475,61.48387097,70.70967742,51.03225806,61.77419355,56.41935484,85.93548387,64.29032258,87.4516129,43.22580645
20160901,74.46666667,37,37,37,32.06666667,37,37,76.53333333,47.53333333,65.33333333,74.03333333,80.46666667,71.1,73.86666667,52.43333333,77.9,69.83333333,61.7,30,36.7,48.8,51.53333333,54.66666667,36.7,57.1,36.7,35.6,72.5,30,,69.83333333,69.83333333,72.46666667,66.3,66.3,73.5,65,72.46666667,66.3,65.84,68.56666667,66.04871795,66.99275362,66.86111111,79.2,56.6,58.76666667,78.36666667,75.26666667,66.86666667,78.7,80.6,86.26666667,80.6,81.13333333,81.13333333,80.6,45.8,63.43333333,63.43333333,36.33333333,60.26666667,57.13333333,30.56666667,72.96666667,72.96666667,74.83333333,69.8,74.16666667,74.83333333,65.8,59.7,33.86666667,68.66666667,47.43333333,47.43333333,47.43333333,51.93333333,53.95833333,34.56666667,52.83333333,60.13333333,51.9,69.43333333,50.93333333,64.36666667,33.4,64.36666667,61.63333333,64.36666667,31.93333333,41.16666667,34.56666667,69.63333333,61.33333333,41.83333333,50.33333333,53.06666667,44.96666667,60.73333333,54.53333333,71.66666667,47.33333333,89.66666667,53.07777778,89.66666667,74.06666667,84.76666667,51.9,44.83333333,44.83333333,80.93333333,73.18333333,64.6,56.7,50.76666667,54.36666667,54.93333333,48.03333333,44.96666667,49.46666667,56.63333333,54.93333333,53.06666667,87.03333333,54.26666667,61.33333333,61.76666667,53.86666667,64.03333333,47.33333333,66.93333333,65.01904762,58,65.76666667,55,53.06666667,54.7,82.9,68.76666667,82.66666667,51.46666667
20161001,77.61290323,47.16129032,47.16129032,47.16129032,40.4516129,47.16129032,47.16129032,60.83870968,35.70967742,80,85.77419355,88.51612903,81.83870968,86.12903226,68.12903226,76.41935484,72.61290323,66.70967742,43.90322581,47.61290323,55.48387097,59.12903226,56.09677419,47.61290323,60.25806452,47.61290323,46.51612903,73,43.90322581,43.90322581,72.61290323,72.61290323,74.70967742,71.61290323,71.61290323,80.61290323,78.5483871,74.70967742,71.61290323,78.34193548,81.22580645,78.02233251,77.28471248,77.67204301,88.77419355,51.29032258,52.93548387,82.09677419,81.48387097,76.61290323,70.32258065,75.93548387,81,75.93548387,76.06451613,76.06451613,75.93548387,60.48387097,71.93548387,71.83870968,58.83870968,80.48387097,76.09677419,25.32258065,68.22580645,68.22580645,76,59.90322581,67.03225806,76,59.19354839,71.77419355,54.35483871,75.87096774,60.35483871,60.35483871,60.35483871,,73.32258065,54.70967742,53.4516129,77.16129032,65.4516129,77.12903226,70.70967742,72.19354839,45.5483871,80.41935484,78.4516129,72.19354839,57.03225806,59.77419355,54.70967742,77.58064516,59.48387097,44.58064516,68.35483871,70.38709677,72.35483871,69.67741935,62.0688172,74.38709677,53.93548387,87.48387097,72.44086022,87.48387097,75.12903226,82.67741935,65.4516129,65.06451613,65.06451613,83.67741935,74.29032258,74,70.5,67.72580645,72.23655914,76.67741935,74.32258065,72.35483871,67.29032258,68.5483871,76.67741935,70.38709677,,60.93548387,59.48387097,71.77419355,63.74193548,64.41935484,53.93548387,77.38709677,77.45409429,77.67741935,72.15483871,72.58064516,70.38709677,54.51612903,83.70967742,82.22580645,81.90322581,70.83870968
