date,"Buenos Aires, Argentina","Luján de Cuyo, Argentina","Mendoza, Argentina","Mendoza Province, Argentina","San Juan, Argentina","Tupungato, Argentina","Uco Valley, Argentina","Adelaide Hills, Australia","South Australia, Australia","Burgenland, Australia","Niederösterreich, Australia","Südsteiermark, Australia","Vulkanland Steiermark, Australia","Wachau, Australia","Thracian Valley, Bulgaria","Lake Erie North Shore, Canada","Aconcagua Costa, Chile","Bío Bío Valley, Chile","Casablanca Valley, Chile","Central Valley, Chile","Colchagua Valley, Chile","Curicó Valley, Chile","Elqui Valley, Chile","Leyda Valley, Chile","Leyda Valley-Maipo Valley, Chile","Lolol Valley, Chile","Maipo Valley, Chile","Malleco, Chile","Maule Valley, Chile","Rapel Valley, Chile","San Antonio, Chile","San Antonio-Maipo Valley, Chile","Atlantique, France","Blaye Côtes de Bordeaux, France","Bordeaux Blanc, France","Côtes de Gascogne, France","Menetou-Salon, France","Pays d'Oc, France","Pessac-Léognan, France","Pouilly-Fumé, France","Saint-Bris, France","Sancerre, France","Touraine, France","Val de Loire, France","Pfalz, Germany","Galilee, Israel","Upper Galilee, Israel","Castel del Monte, Italy","Collio, Italy","Isonzo del Friuli, Italy","Awatere Valley, New Zealand","Marlborough, New Zealand","Martinborough, New Zealand","Nelson, New Zealand","Waipara, New Zealand","Waipara Valley, New Zealand","Wairau Valley, New Zealand","Alentejano, Portugal","Lisboa, Portugal","Península de Setúbal, Portugal","Tejo, Portugal","Dealu Mare, Romania","Tarnave, Romania","Coastal Region, South Africa","Constantia, South Africa","Durbanville, South Africa","Hemel en Aarde, South Africa","Robertson, South Africa","Stellenbosch, South Africa","Upper Hemel en Aarde Valley, South Africa","Western Cape, South Africa","Jumilla, Spain","La Mancha, Spain","Navarra, Spain","Rueda, Spain","Vino de la Tierra de Castilla, Spain","Vino de la Tierra de Castilla y León, Spain","Adelaida District, US","Alexander Valley, US","Amador County, US","Ancient Lakes, US","Anderson Valley, US","Arroyo Seco, US","Bennett Valley, US","Calistoga, US","Carneros, US","Central Coast, US","Columbia Gorge (OR), US","Columbia Valley (WA), US","Coombsville, US","Dry Creek Valley, US","El Dorado, US","Fiddletown, US","Finger Lakes, US","Happy Canyon of Santa Barbara, US","High Valley, US","Horse Heaven Hills, US","Knights Valley, US","Lake County, US","Livermore Valley, US","Lodi, US","Long Island, US","Los Olivos District, US","Mendocino, US","Mendocino County, US","Mendocino Ridge, US","Middleburg, US","Monterey, US","Monterey County, US","Napa Valley, US","Napa-Sonoma, US","North Coast, US","North Fork of Long Island, US","Northern Sonoma, US","Oak Knoll District, US","Oakville, US","Paso Robles, US","Pine Mountain-Cloverdale Peak, US","Potter Valley, US","Red Hills Lake County, US","Red Mountain, US","Rogue Valley, US","Russian River Valley, US","Rutherford, US","San Bernabe, US","San Luis Obispo County, US","Santa Barbara County, US","Santa Cruz Mountains, US","Santa Margarita Ranch, US","Santa Maria Valley, US","Santa Ynez Valley, US","Sonoma Coast, US","Sonoma County, US","Sonoma County-Lake County, US","Sonoma Valley, US","Southern Oregon, US","St. Helena, US","Temecula Valley, US","Umpqua Valley, US","Willamette Valley, US","Willow Creek, US","Yakima Valley, US"
20160101,92.16129032,87.67741935,87.67741935,87.67741935,93.83870968,87.67741935,87.67741935,85.93548387,93.96774194,38.5483871,38.48387097,35.74193548,40.70967742,38.12903226,43.03225806,32.41935484,79.09677419,92.90322581,88.96774194,93.96774194,94.61290323,94.74193548,84.77419355,93.96774194,91.19354839,93.96774194,94.16129032,89.58064516,88.96774194,88.96774194,79.09677419,79.09677419,52.06451613,54.64516129,54.64516129,45.83870968,48.41935484,52.06451613,54.64516129,48.66451613,47.29032258,48.72903226,48.9457478,48.7483871,37.96774194,59.93548387,54.32258065,44.5483871,40.09677419,45.61290323,71.48387097,76.48387097,72.5483871,76.48387097,71.80645161,71.80645161,76.48387097,62.06451613,63.80645161,63.61290323,56.41935484,33.58064516,32.74193548,92.03225806,90.32258065,90.32258065,81.5483871,92.93548387,93.90322581,81.5483871,89.12903226,61.16129032,56.09677419,50.90322581,50.32258065,50.32258065,50.32258065,58.35483871,54.64516129,,63.25806452,53.64516129,58.70967742,55.96774194,54,55.67741935,57.64516129,40.83870968,34.67741935,55.67741935,54.58064516,39.5483871,53.83870968,32.38709677,61.74193548,54.58064516,39.83870968,54.38709677,50.38709677,,57.77419355,37.19354839,60.96774194,55.93548387,51.82795699,55.93548387,37,59.22580645,58.70967742,54.25806452,54.25806452,56,37.48387097,55.61290323,55.29032258,54.77419355,55.7311828,54.09677419,50.70967742,50.38709677,40.41935484,50.35483871,54.09677419,54.38709677,58.12903226,59.80645161,61.74193548,54.93548387,58.4516129,61.83870968,60.96774194,55.19354839,54.88940092,53.77419355,55.07741935,46.77419355,54.38709677,63.32258065,53.22580645,48.16129032,55.22580645,36.90322581
20160201,92.82758621,88.34482759,88.34482759,88.34482759,94.06896552,88.34482759,88.34482759,83.4137931,95.13793103,47.24137931,46.96551724,41.34482759,48.06896552,46.82758621,60.03448276,36.27586207,80.20689655,91.68965517,91.4137931,97.17241379,96.31034483,96.27586207,86.03448276,97.17241379,93.93103448,97.17241379,,86.93103448,91.4137931,91.4137931,80.20689655,80.20689655,51.79310345,,53.34482759,46.79310345,48.48275862,51.79310345,53.34482759,48.75862069,48.03448276,48.85411141,49.17241379,49.10344828,40.75862069,69.86206897,65.37931034,50.51724138,42.82758621,50.34482759,77.17241379,79.82758621,76.79310345,79.82758621,78.96551724,78.96551724,79.82758621,61.06896552,61.5862069,62.24137931,57.10344828,47.65517241,49.96551724,90.5862069,85.5862069,85.5862069,79.75862069,90.20689655,88.93103448,79.75862069,87.10344828,61.20689655,55.48275862,51.06896552,50.31034483,50.31034483,50.31034483,70.75862069,66.02068966,63.86206897,76.34482759,63.4137931,69,66.10344828,65.96551724,66.31034483,67.65517241,50.03448276,42.06896552,66.31034483,64.5862069,49.98275862,63.86206897,34.55172414,70.62068966,65.79310345,52.10344828,66.06896552,62.31034483,65.82758621,67.34482759,40.03448276,74.31034483,60.20689655,62.10344828,60.20689655,41.89655172,64.20689655,69,65.13793103,65.13793103,63,40.05172414,66.4137931,66.75862069,65.94827586,67.09195402,65.34482759,60.68965517,62.31034483,53,57.51724138,65.34482759,66.06896552,63,71.68965517,70.62068966,63.13793103,69.65517241,73.37931034,74.31034483,64.75862069,64.58866995,63.96551724,65.26206897,55,66.06896552,77.06896552,56.89655172,55.44827586,57.65517241,49.48275862
20160301,83.41935484,81.93548387,81.93548387,81.93548387,86.87096774,81.93548387,81.93548387,80.29032258,87.12903226,52.03225806,50.25806452,45.5483871,53.29032258,50.58064516,61.19354839,48.41935484,79.51612903,90.90322581,89.16129032,95.12903226,93.41935484,94.19354839,83.51612903,95.12903226,92.22580645,95.12903226,94.4516129,84.87096774,89.16129032,89.16129032,79.51612903,79.51612903,53.5483871,56.58064516,56.58064516,50.32258065,51.93548387,53.5483871,56.58064516,52.16129032,50.64516129,52.15188172,52.37587658,52.37096774,43.77419355,72.19354839,66.32258065,50.90322581,47.74193548,56.16129032,71.35483871,73.32258065,71.4516129,73.32258065,72.38709677,72.38709677,73.32258065,64.51612903,63.03225806,63.38709677,61.61290323,53.12903226,54.74193548,84.38709677,80.4516129,80.4516129,76.64516129,82.80645161,82.93548387,76.64516129,81.70967742,63.70967742,60.35483871,51.96774194,54.12903226,54.12903226,54.12903226,68.35483871,63.15483871,61.5483871,73.5483871,60.67741935,65.93548387,63.12903226,63.19354839,63.70967742,69.06451613,53.67741935,48.29032258,63.70967742,63.03225806,51.43548387,61.5483871,48.70967742,67.74193548,67.67741935,58.48387097,63.5483871,60.03225806,64.35483871,67,51.29032258,69.19354839,58.12903226,59.10752688,58.12903226,58.32258065,61.16129032,65.93548387,63.90322581,63.90322581,60.06451613,50.79032258,63.64516129,64.06451613,63.98387097,64.51612903,62.32258065,,60.03225806,59.4516129,57.67741935,62.32258065,63.5483871,60.29032258,67.67741935,67.74193548,60.87096774,67.22580645,67.77419355,69.19354839,61.67741935,61.65668203,61.58064516,62.44516129,55.03225806,63.5483871,71.48387097,56.03225806,56.48387097,56.67741935,55.77419355
20160401,74.13333333,67.53333333,67.53333333,67.53333333,73.26666667,67.53333333,67.53333333,73.8,81.63333333,64.43333333,62.23333333,57.43333333,65,61.86666667,77.56666667,51.16666667,71.93333333,71.33333333,73.8,78,75.1,75,78.46666667,78,77,78,78.26666667,67.83333333,73.8,73.8,71.93333333,71.93333333,58.36666667,61.23333333,61.23333333,57.2,,58.36666667,61.23333333,58.17333333,58.56666667,58.21538462,58.38985507,58.43333333,52.6,83.6,79.23333333,64.93333333,58.13333333,67.6,66.86666667,67.4,65.9,67.4,67.73333333,67.73333333,67.4,70.06666667,66.16666667,67.2,65.46666667,68.8,70.1,76.7,76.83333333,76.83333333,73.9,79.66666667,78.93333333,73.9,79.66666667,68.43333333,65.13333333,59.66666667,58.46666667,58.46666667,58.46666667,74.76666667,70.57333333,68.9,76.93333333,68.66666667,68.63333333,69.53333333,70.9,70.26666667,78,65.96666667,64.8,70.26666667,72.2,62.68333333,68.9,52.46666667,69.83333333,71.73333333,73.06666667,70.93333333,68.06666667,70.06666667,75.5,56.2,73.5,62.23333333,67.04444444,62.23333333,63.9,62,68.63333333,71.53333333,71.53333333,64.26666667,55.78333333,70.66666667,71.36666667,71.45,72,70.36666667,66.56666667,68.06666667,74.63333333,68,70.36666667,70.93333333,61.56666667,71.86666667,69.83333333,65.16666667,73.7,,73.5,68.2,68.43076923,69.2,69.43333333,65.83333333,70.93333333,74.96666667,61,66.56666667,60.1,71.26666667
20160501,63.70967742,57.96774194,57.96774194,57.96774194,63.83870968,57.96774194,57.96774194,65.58064516,71.58064516,69.29032258,69.25806452,64.38709677,70.5483871,69.58064516,79.22580645,64.96774194,70.90322581,68.48387097,70.03225806,74.74193548,71.90322581,70.93548387,75.19354839,74.74193548,74.77419355,74.74193548,75.25806452,65.19354839,70.03225806,70.03225806,70.90322581,70.90322581,,68.77419355,68.77419355,66.22580645,65.09677419,67.29032258,68.77419355,65.4,65.22580645,65.47022333,65.80504909,65.76344086,60.67741935,84.74193548,79.38709677,67.51612903,62.29032258,73.83870968,62.06451613,62.51612903,61.51612903,62.51612903,64.09677419,64.09677419,62.51612903,75.48387097,72.09677419,72.74193548,72.77419355,71.16129032,71.5483871,67.83870968,74.29032258,74.29032258,72.22580645,76.29032258,76.03225806,72.22580645,74,75.16129032,73.64516129,67.41935484,67.41935484,67.41935484,67.41935484,76.41935484,75.32903226,,75.74193548,74.29032258,68.77419355,72.29032258,75.64516129,72.67741935,83.93548387,70.80645161,69.4516129,72.67741935,79,66.61290323,75.38709677,68.5483871,67.29032258,76.06451613,77.48387097,75.80645161,74.4516129,,81.80645161,66.25806452,74.03225806,63.4516129,71.74193548,63.4516129,69.80645161,61.90322581,68.77419355,77.80645161,77.80645161,64.61290323,66.22580645,74.64516129,76.09677419,76.9516129,75.59139785,75.41935484,72.03225806,74.4516129,78.19354839,73.51612903,75.41935484,75.80645161,61.22580645,70.77419355,67.29032258,66.74193548,72.5483871,,74.03225806,70.32258065,71.2281106,74.5483871,72.89677419,70.4516129,75.80645161,72.35483871,63.29032258,70.64516129,61.22580645,75.25806452
20160601,61.56666667,53.63333333,53.63333333,53.63333333,59.33333333,53.63333333,53.63333333,58.73333333,62.93333333,78.16666667,80.16666667,74.4,79.86666667,80.1,91.83333333,76.16666667,68.43333333,60.76666667,65.1,70.93333333,66.1,65.13333333,73.06666667,70.93333333,70.53333333,70.93333333,70.86666667,58.66666667,65.1,,68.43333333,68.43333333,70.73333333,73.2,73.2,69.6,,70.73333333,,70.43333333,69.96666667,70.46388889,70.58405797,70.55555556,66.26666667,94.8,89.36666667,77.63333333,70.33333333,82.83333333,56.86666667,57.16666667,57.53333333,57.16666667,58.5,58.5,57.16666667,91.16666667,82.4,82.76666667,89.23333333,83.3,84.03333333,63.16666667,65.76666667,65.76666667,67.83333333,65.23333333,66.16666667,67.83333333,65.6,86.06666667,89.83333333,75.53333333,80.8,80.8,80.8,92.7,84.9,,,83.03333333,75,79.4,84.8,78.83333333,98.33333333,75.33333333,75.13333333,78.83333333,90.8,78.71666667,,78.33333333,72.2,94.23333333,84.76666667,,84.4,83.86666667,93.33333333,77,85.73333333,69.96666667,80.18888889,69.96666667,83.06666667,65.03333333,75,88.36666667,88.36666667,68.16666667,76.55,82.76666667,85.63333333,87,87.45555556,85.2,80.1,84.4,86.26666667,81.53333333,85.2,85.6,,85.83333333,72.2,76.36666667,90.2,73,85.73333333,77.4,78.90714286,84.43333333,80.95333333,79.03333333,85.6,88.96666667,64.73333333,74.93333333,63.1,81.5
20160701,60.87096774,56.67741935,56.67741935,56.67741935,62.74193548,56.67741935,56.67741935,57.32258065,62.90322581,82.90322581,83.5483871,79,83.77419355,83.70967742,94.67741935,81.38709677,65.90322581,58.61290323,62.4516129,68.38709677,63.90322581,63,71.83870968,68.38709677,67.16129032,68.38709677,,55.51612903,62.4516129,62.4516129,65.90322581,65.90322581,,81,81,75.22580645,78.29032258,76.29032258,81,78.02580645,77.09677419,77.98883375,77.82047686,77.80645161,69.64516129,94.90322581,89.38709677,85.09677419,77.19354839,89.90322581,54.87096774,54.38709677,54.25806452,54.38709677,56.12903226,56.12903226,54.38709677,100.1935484,89.87096774,89.35483871,101.0967742,86.09677419,86.96774194,58.90322581,64.38709677,64.38709677,66.74193548,62.67741935,64.25806452,66.74193548,63.77419355,89.70967742,99.77419355,82.5483871,91.58064516,91.58064516,91.58064516,89.67741935,87.11612903,93.4516129,95.64516129,88.61290323,78.64516129,80.29032258,87.4516129,77,100.6451613,78.12903226,78.16129032,77,97,82.80645161,93.4516129,85.5483871,73.09677419,95.58064516,88.32258065,87.83870968,90.74193548,85.5483871,93.96774194,84.80645161,85.12903226,65.87096774,82.84946237,65.87096774,88.06451613,64.09677419,78.64516129,89.90322581,89.90322581,69.48387097,84.48387097,84.16129032,87.12903226,88.51612903,90.77419355,90.5483871,85.32258065,90.74193548,89.90322581,86.29032258,90.5483871,87.83870968,63.87096774,80.90322581,73.09677419,75.70967742,87.61290323,70.90322581,85.12903226,78.09677419,80.32258065,88.48387097,81.12903226,82.77419355,87.83870968,91.16129032,66.48387097,78.5483871,62.32258065,85.41935484
20160801,64.87096774,66.80645161,66.80645161,66.80645161,72.5483871,66.80645161,66.80645161,60.25806452,67.16129032,80.64516129,80.16129032,75.93548387,82.19354839,80.12903226,93.4516129,81.19354839,66.51612903,62.25806452,72.09677419,76.32258065,69.32258065,68.22580645,76.38709677,76.32258065,75.58064516,76.32258065,,59.25806452,72.09677419,72.09677419,66.51612903,66.51612903,80.48387097,82.90322581,82.90322581,78.4516129,82.64516129,80.48387097,,82.52903226,80.51612903,82.48387097,82.31085044,82.40645161,71,95.19354839,90.09677419,83.58064516,74.74193548,88,53.25806452,55.70967742,54.4516129,55.70967742,53.61290323,53.61290323,55.70967742,99.70967742,90.03225806,89.51612903,100.2903226,85.29032258,86.48387097,67.87096774,69.93548387,69.93548387,66.67741935,72.4516129,70.87096774,66.67741935,73.64516129,88.5483871,97.96774194,85.38709677,91.09677419,91.09677419,91.09677419,86.83870968,85.56129032,90.35483871,95.87096774,91.35483871,84.38709677,76.4516129,86.90322581,72.90322581,99.35483871,83.22580645,82,72.90322581,93.22580645,84.43548387,90.35483871,86.16129032,71.41935484,94.16129032,91.61290323,87.74193548,91.38709677,86.25806452,89.19354839,84.83870968,84.80645161,63.38709677,82.25806452,63.38709677,88.41935484,65.61290323,84.38709677,89.61290323,89.61290323,68.70967742,85.14516129,79.4516129,86.48387097,88.0483871,89.96774194,89.93548387,87.80645161,91.38709677,92.80645161,92.19354839,89.93548387,87.74193548,65.09677419,75.4516129,71.41935484,66.03225806,84.09677419,68.83870968,84.80645161,75.83870968,77.94009217,85.64516129,79.24516129,87.16129032,87.74193548,91.4516129,68.96774194,85.16129032,61.06451613,88.70967742
20160901,65.03333333,69.83333333,69.83333333,69.83333333,75.46666667,69.83333333,69.83333333,59.2,68.83333333,77.9,76.86666667,71.5,77.66666667,77.03333333,84.3,75.46666667,68.86666667,73.73333333,79.7,85.5,80.6,79.83333333,78.13333333,85.5,83.46666667,85.5,85,69.2,79.7,,68.86666667,68.86666667,75.86666667,79.76666667,79.76666667,75.56666667,77.03333333,75.86666667,79.76666667,76.99333333,77.33333333,76.95384615,76.80434783,76.86111111,71.73333333,90.66666667,85.03333333,74.83333333,71.3,82.36666667,56.96666667,60.66666667,57,60.66666667,57.93333333,57.93333333,60.66666667,92.56666667,86.03333333,85.6,91.4,79.66666667,80,73.8,69.26666667,69.26666667,66.3,69.96666667,70,66.3,71.43333333,84.7,89.73333333,79.7,83.06666667,83.06666667,83.06666667,85.73333333,85.125,85.56666667,87.7,85.16666667,83.9,79.2,84.96666667,76.56666667,92.9,71.73333333,69.8,76.56666667,88.93333333,74.43333333,85.56666667,77.5,75.56666667,85.13333333,77.93333333,86.36666667,84.9,84.93333333,88.46666667,77,82.56666667,64.13333333,79.32222222,64.13333333,81.56666667,66.43333333,83.9,87.1,87.1,69.43333333,76.86666667,82.16666667,85.76666667,86.43333333,86.57777778,86.03333333,82.1,84.9,78.73333333,79.66666667,86.03333333,86.36666667,66.56666667,78.13333333,75.56666667,69.66666667,84.23333333,73.33333333,82.56666667,77.93333333,79.11190476,83.43333333,80.05,75.6,86.36666667,86.6,66.86666667,74.6,61.73333333,75.93333333
20161001,71.35483871,75.09677419,75.09677419,75.09677419,80.83870968,75.09677419,75.09677419,65.77419355,79.35483871,57.90322581,56.61290323,54.12903226,59.19354839,56.19354839,67.58064516,63.77419355,68.90322581,74.09677419,76.67741935,82.19354839,80.19354839,79.25806452,79.32258065,82.19354839,81.83870968,82.19354839,81.87096774,70.58064516,76.67741935,76.67741935,68.90322581,68.90322581,63.16129032,69.06451613,69.06451613,59.61290323,61.25806452,63.16129032,69.06451613,61.41935484,60.16129032,61.48014888,61.71809257,61.66129032,52.25806452,87.25806452,81.90322581,64.70967742,56.58064516,66.5483871,62.38709677,65.61290323,60.64516129,65.61290323,63.12903226,63.12903226,65.61290323,80.83870968,77.29032258,76.51612903,76.64516129,56.25806452,58.80645161,80.96774194,74.83870968,74.83870968,69.03225806,79.09677419,76.90322581,69.03225806,78.12903226,76.22580645,76.67741935,68.38709677,70.64516129,70.64516129,70.64516129,,71.70967742,70.38709677,82.29032258,68.58064516,76.41935484,70.51612903,71.32258065,71.61290323,79.74193548,59.74193548,54.29032258,71.61290323,72.12903226,60.62903226,70.38709677,61.90322581,74.03225806,76.32258065,63.03225806,72.09677419,67.32258065,72.96774194,78.5844086,64.09677419,76,62.03225806,66.59139785,62.03225806,68.90322581,66.19354839,76.41935484,73,73,65.70967742,63.87096774,72.03225806,72.67741935,72.5483871,72.10752688,70.16129032,65.19354839,67.32258065,63.67741935,64.03225806,70.16129032,72.09677419,,74.29032258,74.03225806,65.32258065,74.74193548,73.09677419,76,69.22580645,68.93548387,67.96774194,73.18989247,60.58064516,72.09677419,81.48387097,61.25806452,62.22580645,62.35483871,60.93548387
