date,"Buenos Aires, Argentina","Luján de Cuyo, Argentina","Mendoza, Argentina","Mendoza Province, Argentina","San Juan, Argentina","Tupungato, Argentina","Uco Valley, Argentina","Adelaide Hills, Australia","South Australia, Australia","Burgenland, Australia","Niederösterreich, Australia","Südsteiermark, Australia","Vulkanland Steiermark, Australia","Wachau, Australia","Thracian Valley, Bulgaria","Lake Erie North Shore, Canada","Aconcagua Costa, Chile","Bío Bío Valley, Chile","Casablanca Valley, Chile","Central Valley, Chile","Colchagua Valley, Chile","Curicó Valley, Chile","Elqui Valley, Chile","Leyda Valley, Chile","Leyda Valley-Maipo Valley, Chile","Lolol Valley, Chile","Maipo Valley, Chile","Malleco, Chile","Maule Valley, Chile","Rapel Valley, Chile","San Antonio, Chile","San Antonio-Maipo Valley, Chile","Atlantique, France","Blaye Côtes de Bordeaux, France","Bordeaux Blanc, France","Côtes de Gascogne, France","Menetou-Salon, France","Pays d'Oc, France","Pessac-Léognan, France","Pouilly-Fumé, France","Saint-Bris, France","Sancerre, France","Touraine, France","Val de Loire, France","Pfalz, Germany","Galilee, Israel","Upper Galilee, Israel","Castel del Monte, Italy","Collio, Italy","Isonzo del Friuli, Italy","Awatere Valley, New Zealand","Marlborough, New Zealand","Martinborough, New Zealand","Nelson, New Zealand","Waipara, New Zealand","Waipara Valley, New Zealand","Wairau Valley, New Zealand","Alentejano, Portugal","Lisboa, Portugal","Península de Setúbal, Portugal","Tejo, Portugal","Dealu Mare, Romania","Tarnave, Romania","Coastal Region, South Africa","Constantia, South Africa","Durbanville, South Africa","Hemel en Aarde, South Africa","Robertson, South Africa","Stellenbosch, South Africa","Upper Hemel en Aarde Valley, South Africa","Western Cape, South Africa","Jumilla, Spain","La Mancha, Spain","Navarra, Spain","Rueda, Spain","Vino de la Tierra de Castilla, Spain","Vino de la Tierra de Castilla y León, Spain","Adelaida District, US","Alexander Valley, US","Amador County, US","Ancient Lakes, US","Anderson Valley, US","Arroyo Seco, US","Bennett Valley, US","Calistoga, US","Carneros, US","Central Coast, US","Columbia Gorge (OR), US","Columbia Valley (WA), US","Coombsville, US","Dry Creek Valley, US","El Dorado, US","Fiddletown, US","Finger Lakes, US","Happy Canyon of Santa Barbara, US","High Valley, US","Horse Heaven Hills, US","Knights Valley, US","Lake County, US","Livermore Valley, US","Lodi, US","Long Island, US","Los Olivos District, US","Mendocino, US","Mendocino County, US","Mendocino Ridge, US","Middleburg, US","Monterey, US","Monterey County, US","Napa Valley, US","Napa-Sonoma, US","North Coast, US","North Fork of Long Island, US","Northern Sonoma, US","Oak Knoll District, US","Oakville, US","Paso Robles, US","Pine Mountain-Cloverdale Peak, US","Potter Valley, US","Red Hills Lake County, US","Red Mountain, US","Rogue Valley, US","Russian River Valley, US","Rutherford, US","San Bernabe, US","San Luis Obispo County, US","Santa Barbara County, US","Santa Cruz Mountains, US","Santa Margarita Ranch, US","Santa Maria Valley, US","Santa Ynez Valley, US","Sonoma Coast, US","Sonoma County, US","Sonoma County-Lake County, US","Sonoma Valley, US","Southern Oregon, US","St. Helena, US","Temecula Valley, US","Umpqua Valley, US","Willamette Valley, US","Willow Creek, US","Yakima Valley, US"
20160101,72.83870968,66.48387097,66.48387097,66.48387097,68.09677419,66.48387097,66.48387097,68.06451613,72.22580645,29.83870968,27.74193548,21.25806452,28.83870968,27.80645161,26.64516129,25.74193548,68.96774194,70.12903226,70.93548387,80.67741935,73.16129032,71.06451613,72.06451613,80.67741935,74.77419355,80.67741935,77.77419355,63.74193548,70.93548387,70.93548387,68.96774194,68.96774194,43.96774194,44.4516129,44.4516129,37.64516129,39.51612903,43.96774194,44.4516129,39.71612903,38.03225806,39.78709677,39.97507331,39.76774194,33,51.12903226,46.35483871,29.32258065,30.64516129,31.87096774,54.41935484,55.48387097,57.38709677,55.48387097,55.06451613,55.06451613,55.48387097,48.58064516,54.61290323,56.09677419,41.96774194,23.61290323,23.22580645,77.06451613,77.70967742,77.70967742,73.51612903,72.5483871,76.4516129,73.51612903,73,42.83870968,42.29032258,37.64516129,39.90322581,39.90322581,39.90322581,44.41935484,45.41290323,,45.09677419,44.29032258,46.87096774,46.06451613,46.16129032,45.61290323,45.25806452,34.16129032,28.16129032,45.61290323,45.90322581,31.62903226,43.77419355,24.64516129,51.64516129,37.87096774,31.70967742,45.32258065,41.87096774,,45.96774194,30.09677419,46.51612903,48.90322581,42.41935484,48.90322581,25.38709677,50.12903226,46.87096774,45.51612903,45.51612903,48.32258065,30.61290323,45.5483871,45.83870968,45.67741935,44.66666667,45.09677419,41.58064516,41.87096774,31.83870968,38.19354839,45.09677419,45.32258065,48.74193548,47.16129032,51.64516129,46.25806452,44.32258065,48.22580645,46.51612903,47.16129032,46.78110599,45.38709677,46.16129032,36.93548387,45.32258065,46.41935484,44.51612903,40.5483871,47.64516129,28.19354839
20160201,73.4137931,66.86206897,66.86206897,66.86206897,66.96551724,66.86206897,66.86206897,63.37931034,70.13793103,37.20689655,35.62068966,27.27586207,35.27586207,35.4137931,40.86206897,28.10344828,67.06896552,65.13793103,72.62068966,82.96551724,72.5862069,68.24137931,72.62068966,82.96551724,75.13793103,82.96551724,,58.44827586,72.62068966,72.62068966,67.06896552,67.06896552,43.06896552,,44.51724138,38.20689655,39.34482759,43.06896552,44.51724138,39.64827586,38.68965517,39.75331565,40.04497751,39.98275862,33.20689655,60.55172414,56.31034483,33.03448276,35.17241379,37.68965517,55.86206897,55.31034483,59,55.31034483,56.75862069,56.75862069,55.31034483,46.34482759,50.65517241,53.55172414,39.75862069,34.5862069,36.55172414,74.13793103,73.03448276,73.03448276,70.4137931,68.44827586,71.24137931,70.4137931,69.44827586,43.10344828,40.13793103,37.03448276,37.82758621,37.82758621,37.82758621,43.10344828,47.64137931,45.34482759,53.93103448,45.62068966,49.10344828,47.06896552,48.20689655,47.06896552,45.34482759,39.55172414,32.79310345,47.06896552,48.20689655,36.70689655,45.34482759,26.34482759,53.89655172,44.5862069,37.10344828,47.75862069,43.37931034,46.68965517,45.82758621,32.10344828,48.10344828,49.13793103,43.63218391,49.13793103,30.62068966,51.65517241,49.10344828,48.68965517,48.68965517,48.03448276,32.25862069,46.93103448,48.10344828,48.39655172,45.7816092,47.55172414,43.75862069,43.37931034,37.72413793,40.96551724,47.55172414,47.75862069,50.20689655,49.68965517,53.89655172,50.62068966,42.79310345,50.34482759,48.10344828,47.34482759,47.24137931,46.86206897,47.08275862,40.75862069,47.75862069,54.13793103,46.62068966,44.17241379,48.10344828,33.51724138
20160301,65.67741935,60.83870968,60.83870968,60.83870968,61.25806452,60.83870968,60.83870968,63.51612903,67.70967742,40.58064516,36.4516129,27.41935484,38.16129032,36.51612903,44.32258065,37.93548387,65,62.93548387,64.93548387,76.16129032,67.83870968,65.35483871,69.19354839,76.16129032,69.25806452,76.16129032,71.87096774,55.87096774,64.93548387,64.93548387,65,65,40.4516129,43.38709677,43.38709677,37.51612903,38.12903226,40.4516129,43.38709677,38.37903226,36.35483871,38.25268817,38.62412342,38.46236559,32.29032258,63.77419355,59.06451613,34.77419355,35.77419355,39.74193548,50.87096774,51.41935484,55.16129032,51.41935484,51.80645161,51.80645161,51.41935484,42.22580645,49.77419355,52.29032258,37.74193548,38.83870968,40.35483871,68.74193548,68.06451613,68.06451613,68.22580645,62,65.80645161,68.22580645,63.93548387,42.5483871,37.96774194,37.22580645,36.41935484,36.41935484,36.41935484,45.90322581,48.34193548,46.93548387,52.48387097,46.67741935,49.90322581,49,49.67741935,49.51612903,50.32258065,41.58064516,35.19354839,49.51612903,49.29032258,38.82258065,46.93548387,34.74193548,54.12903226,47.64516129,41.41935484,49.12903226,45.41935484,49.25806452,50.16129032,41.03225806,48.19354839,49.38709677,44.82795699,49.38709677,43,52.87096774,49.90322581,49.58064516,49.58064516,51.03225806,41.03225806,49.22580645,49.77419355,49.67741935,47.80645161,48.80645161,,45.41935484,41.70967742,42.22580645,48.80645161,49.12903226,51.09677419,49.83870968,54.12903226,49.16129032,46.61290323,51.25806452,48.19354839,49.19354839,48.92396313,47.93548387,48.95483871,42.09677419,49.12903226,52.80645161,47.06451613,44.29032258,48.67741935,37.03225806
20160401,61.16666667,49.56666667,49.56666667,49.56666667,52.9,49.56666667,49.56666667,57.96666667,60.03333333,50.36666667,47,39.26666667,49.9,46.53333333,59.46666667,40.83333333,59.63333333,52.33333333,51.8,61.76666667,55.83333333,54.33333333,62.43333333,61.76666667,56.5,61.76666667,58.73333333,44.4,51.8,51.8,59.63333333,59.63333333,43.86666667,47.46666667,47.46666667,41.76666667,,43.86666667,47.46666667,43.70666667,43.8,43.73333333,43.63043478,43.62222222,39.4,76.36666667,72.93333333,44.8,47.53333333,51.03333333,47.7,47.5,51.26666667,47.5,46.5,46.5,47.5,49.2,53.1,55.76666667,44.66666667,53.56666667,54.5,61.43333333,64.36666667,64.36666667,64.46666667,57.7,61.2,64.46666667,59.6,49.93333333,44.5,40.66666667,39.43333333,39.43333333,39.43333333,50.03333333,51.66,52.43333333,57.3,50.56666667,52.36666667,52.73333333,52.93333333,52.23333333,56.33333333,48.86666667,45.9,52.23333333,54.63333333,46.73333333,52.43333333,38.7,58.56666667,52.96666667,52.63333333,52.63333333,48.76666667,52.5,55.53333333,47.03333333,49.8,51.6,47.87777778,51.6,47.4,54.56666667,52.36666667,53.23333333,53.23333333,53.26666667,46.65,52.06666667,52.9,53.06666667,51.46666667,52,47.5,48.76666667,53.06666667,49.43333333,52,52.63333333,54.13333333,52.33333333,58.56666667,53.43333333,50.3,,49.8,51.93333333,51.82564103,51.46666667,52,48.03333333,52.63333333,57.13333333,49.8,49.63333333,52,50.3
20160501,52.03225806,44.87096774,44.87096774,44.87096774,46.61290323,44.87096774,44.87096774,54.5483871,52.61290323,58.06451613,54.93548387,46.74193548,57.83870968,54.16129032,62.29032258,53.83870968,58.96774194,52.16129032,47.48387097,58.06451613,52.25806452,51.09677419,57.61290323,58.06451613,52.35483871,58.06451613,55.48387097,45,47.48387097,47.48387097,58.96774194,58.96774194,,54.58064516,54.58064516,50.87096774,50.61290323,51.25806452,54.58064516,50.52903226,49.41935484,50.51488834,50.3884993,50.40322581,49.67741935,77.64516129,73.22580645,49.58064516,52.93548387,57.70967742,46.70967742,46.83870968,53.41935484,46.83870968,46.90322581,46.90322581,46.83870968,54.90322581,56.12903226,59.83870968,51.41935484,58.25806452,57.29032258,51.70967742,57.93548387,57.93548387,61.22580645,50.29032258,54.06451613,61.22580645,53.77419355,55.87096774,52.16129032,48.38709677,47.19354839,47.19354839,47.19354839,53.32258065,56.81935484,,57.67741935,56.16129032,55.83870968,55.70967742,57.77419355,55.93548387,64.35483871,54.67741935,52.38709677,55.93548387,61.70967742,52.67741935,57.80645161,54.22580645,58.77419355,59.22580645,58.83870968,57.83870968,56.25806452,,60.48387097,56.93548387,53.58064516,54.16129032,53.58064516,54.16129032,57.48387097,55.5483871,55.83870968,59.4516129,59.4516129,54.41935484,57.17741935,56.48387097,57,58.22580645,56.51612903,57.61290323,52.16129032,56.25806452,59.51612903,53.77419355,57.61290323,57.83870968,55.06451613,54.35483871,58.77419355,54.5483871,53.93548387,,53.58064516,55.77419355,55.94700461,56.58064516,56.21935484,52.32258065,57.83870968,57.87096774,54.29032258,55.58064516,54.16129032,58.41935484
20160601,47.26666667,38.33333333,38.33333333,38.33333333,41.2,38.33333333,38.33333333,48.43333333,48.46666667,68.16666667,64.7,55.53333333,67.93333333,63.73333333,74.36666667,65.16666667,52.06666667,43.36666667,41.8,52,43.23333333,42.23333333,54.06666667,52,45.56666667,52,49.3,37.43333333,41.8,,52.06666667,52.06666667,58.7,59.9,59.9,58.23333333,,58.7,,57.6,57,57.64444444,57.73623188,57.77777778,56.8,87.33333333,83.96666667,57.23333333,62.63333333,67.66666667,41.23333333,42.53333333,47.23333333,42.53333333,42.03333333,42.03333333,42.53333333,62.56666667,62.5,64.8,61.16666667,69.06666667,68.66666667,45.9,52.23333333,52.23333333,57.4,43.46666667,48.16666667,57.4,46.73333333,65.3,63.3,54.5,55.5,55.5,55.5,60.93333333,60.41333333,,,59.33333333,60.03333333,58.56666667,61.76666667,59.3,73.63333333,59.5,57.8,59.3,69.56666667,60.06666667,,62.8,62.73333333,75.93333333,65.46666667,,63.46666667,60.26666667,66.5,67.23333333,58.43333333,55.53333333,57.2,55.53333333,69.46666667,57.66666667,60.03333333,64.2,64.2,55.76666667,66.96666667,59.46666667,61.06666667,62.63333333,62.37777778,62.23333333,57,63.46666667,65.63333333,59.6,62.23333333,61.93333333,,62.93333333,62.73333333,60,61.4,59.2,58.43333333,58.7,59.09285714,60.53333333,59.37333333,58.43333333,61.93333333,70.5,56.13333333,58.9,55.56666667,64.76666667
20160701,48.41935484,38.41935484,38.41935484,38.41935484,42.48387097,38.41935484,38.41935484,46.70967742,45.06451613,71.19354839,67.90322581,59.03225806,70.67741935,67.22580645,76.5483871,70.51612903,52.25806452,44.87096774,40.90322581,50.93548387,44.93548387,43.58064516,52.12903226,50.93548387,45.74193548,50.93548387,,39.90322581,40.90322581,40.90322581,52.25806452,52.25806452,,61.64516129,61.64516129,60.03225806,60.12903226,60.51612903,61.64516129,60.12258065,59.35483871,60.17493797,60.05890603,60.03763441,59.67741935,86.64516129,84.93548387,64.64516129,67.96774194,73.09677419,38.90322581,39.90322581,45.25806452,39.90322581,39.38709677,39.38709677,39.90322581,68.22580645,63.67741935,66.38709677,68.19354839,72,70.93548387,42.06451613,50.74193548,50.74193548,56.61290323,40.74193548,46.38709677,56.61290323,44.74193548,69.61290323,71.5483871,59.5483871,61.38709677,61.38709677,61.38709677,60.51612903,59.20645161,68.77419355,70.12903226,60.70967742,60,55.87096774,61.87096774,57.19354839,75.38709677,62,61.90322581,57.19354839,72.19354839,63.5483871,68.77419355,69.83870968,63.5483871,77.87096774,68.4516129,60.38709677,65.03225806,60.06451613,65.61290323,75.09677419,57.09677419,55.77419355,59.08602151,55.77419355,75.16129032,56.77419355,60,64.16129032,64.16129032,55.06451613,74.88709677,56.87096774,59.93548387,62.0483871,61.46236559,61.93548387,60,65.03225806,69.51612903,61.61290323,61.93548387,60.38709677,56.25806452,61.09677419,63.5483871,56.32258065,59.77419355,56.58064516,57.09677419,58.41935484,59.04147465,61.32258065,57.64516129,60.83870968,60.38709677,69.96774194,57.83870968,60.90322581,56.09677419,67.09677419
20160801,51.74193548,44.93548387,44.93548387,44.93548387,48.87096774,44.93548387,44.93548387,46.29032258,46.77419355,66.96774194,63.5483871,54.77419355,66.80645161,62.90322581,74.32258065,69.74193548,51.80645161,45.74193548,44.80645161,55.12903226,47.29032258,45.90322581,57.09677419,55.12903226,47.90322581,55.12903226,,40.25806452,44.80645161,44.80645161,51.80645161,51.80645161,59.83870968,61.38709677,61.38709677,58.90322581,58.12903226,59.83870968,,57.76774194,56.93548387,58.05955335,58.28152493,57.9483871,56.87096774,86.70967742,85.12903226,59.74193548,64.22580645,67.5483871,38.09677419,37.35483871,42.16129032,37.35483871,37.83870968,37.83870968,37.35483871,65.29032258,63.19354839,65.64516129,65.09677419,68.64516129,68.90322581,49.12903226,54.77419355,54.77419355,58.29032258,46.41935484,50.51612903,58.29032258,51.48387097,67.06451613,68.41935484,57.90322581,61.12903226,61.12903226,61.12903226,58.77419355,56.49032258,65.12903226,67.19354839,57.48387097,61.12903226,53.87096774,59.67741935,55.25806452,71.67741935,63.38709677,61.83870968,55.25806452,70.5483871,62.51612903,65.12903226,69.29032258,62.22580645,73.90322581,66.93548387,58.06451613,62.38709677,58.4516129,61.90322581,75.90322581,53.4516129,55.96774194,56.90322581,55.96774194,73.25806452,56.80645161,61.12903226,62.32258065,62.32258065,54.83870968,76.20967742,54.61290323,56.58064516,59.4516129,57.15053763,56.64516129,59.93548387,62.38709677,67.64516129,63.19354839,56.64516129,58.06451613,57.38709677,58.12903226,62.22580645,55.61290323,56.61290323,56.38709677,53.4516129,55.83870968,56.35714286,58.25806452,55.83225806,61.80645161,58.06451613,68.5483871,56.41935484,61.35483871,53.67741935,65.09677419
20160901,52.06666667,46.23333333,46.23333333,46.23333333,48.36666667,46.23333333,46.23333333,46.83333333,48.83333333,63.3,58.9,49.36666667,60.8,58.46666667,65.56666667,62.26666667,56.73333333,52,54.1,65.96666667,56.9,54.03333333,62.76666667,65.96666667,58.1,65.96666667,62.03333333,46,54.1,,56.73333333,56.73333333,58.96666667,59.9,59.9,56.7,56.6,58.96666667,59.9,56.37333333,54.5,56.75128205,56.97681159,56.51666667,55.36666667,82.73333333,79.36666667,51.16666667,56.13333333,61.1,44.26666667,42.36666667,47.3,42.36666667,43.06666667,43.06666667,42.36666667,63.7,62.53333333,64.9,59.9,62.4,62.56666667,57.5,57.4,57.4,57.86666667,49.2,53.26666667,57.86666667,53.6,61.6,61.8,55.26666667,57.26666667,57.26666667,57.26666667,55.96666667,55.01666667,61.9,62.43333333,51.96666667,58.13333333,53.13333333,57.1,54.86666667,64.53333333,54.33333333,51.26666667,54.86666667,63.73333333,52.78333333,61.9,59.13333333,62.86666667,64.66666667,54.66666667,56.93333333,56.3,57.36666667,59.83333333,68.13333333,55,54.03333333,52.14444444,54.03333333,66.46666667,57.73333333,58.13333333,59.16666667,59.16666667,54.5,67.7,54.3,55.8,57.48333333,55.07777778,54.93333333,53.06666667,56.3,55.36666667,52.9,54.93333333,56.93333333,57.33333333,59.03333333,62.86666667,54.3,54.3,56.63333333,55,55.43333333,55.56190476,56.03333333,54.86666667,53.03333333,56.93333333,64.1,53.73333333,53.56666667,52.33333333,51.9
20161001,58.25806452,52.19354839,52.19354839,52.19354839,53.16129032,52.19354839,52.19354839,51.25806452,55.03225806,44.80645161,43.09677419,35.5483871,43.32258065,42.74193548,51.22580645,52.35483871,59.32258065,55.80645161,58.41935484,69.64516129,61.51612903,58.96774194,65.87096774,69.64516129,63.64516129,69.64516129,66.38709677,50.32258065,58.41935484,58.41935484,59.32258065,59.32258065,47.19354839,51.19354839,51.19354839,44.64516129,45.93548387,47.19354839,51.19354839,45.7483871,44.12903226,45.96153846,46.02103787,45.75806452,42,76.90322581,74.90322581,42.74193548,42.83870968,47.29032258,43.83870968,44.70967742,48.77419355,44.70967742,45.19354839,45.19354839,44.70967742,58.64516129,59.41935484,61.80645161,53,43.67741935,45.06451613,64.51612903,63.35483871,63.35483871,60.80645161,57.09677419,61.51612903,60.80645161,58.5483871,56.41935484,54.74193548,47.16129032,50.48387097,50.48387097,50.48387097,,53.27096774,53.38709677,58.03225806,50.61290323,53.90322581,53.12903226,53.4516129,54.19354839,56.03225806,47.12903226,42.80645161,54.19354839,56.32258065,44.74193548,53.38709677,48.41935484,58.25806452,54.64516129,47.22580645,53.38709677,51.06451613,54.61290323,56.18413978,54.41935484,55.16129032,53,48.89247312,53,51.58064516,55.35483871,53.90322581,54.48387097,54.48387097,54.29032258,53.88709677,53.4516129,53.61290323,53.93548387,52.05376344,52.09677419,49.06451613,51.06451613,47.32258065,48.06451613,52.09677419,53.38709677,,56.77419355,58.25806452,51.67741935,52.96774194,55.12903226,55.16129032,53.12903226,52.57816377,50.74193548,53.83892473,47.41935484,53.38709677,59.38709677,53.41935484,51.90322581,53.41935484,44.38709677
