date,"Buenos Aires, Argentina","Luján de Cuyo, Argentina","Mendoza, Argentina","Mendoza Province, Argentina","San Juan, Argentina","Tupungato, Argentina","Uco Valley, Argentina","Adelaide Hills, Australia","South Australia, Australia","Burgenland, Australia","Niederösterreich, Australia","Südsteiermark, Australia","Vulkanland Steiermark, Australia","Wachau, Australia","Thracian Valley, Bulgaria","Lake Erie North Shore, Canada","Aconcagua Costa, Chile","Bío Bío Valley, Chile","Casablanca Valley, Chile","Central Valley, Chile","Colchagua Valley, Chile","Curicó Valley, Chile","Elqui Valley, Chile","Leyda Valley, Chile","Leyda Valley-Maipo Valley, Chile","Lolol Valley, Chile","Maipo Valley, Chile","Malleco, Chile","Maule Valley, Chile","Rapel Valley, Chile","San Antonio, Chile","San Antonio-Maipo Valley, Chile","Atlantique, France","Blaye Côtes de Bordeaux, France","Bordeaux Blanc, France","Côtes de Gascogne, France","Menetou-Salon, France","Pays d'Oc, France","Pessac-Léognan, France","Pouilly-Fumé, France","Saint-Bris, France","Sancerre, France","Touraine, France","Val de Loire, France","Pfalz, Germany","Galilee, Israel","Upper Galilee, Israel","Castel del Monte, Italy","Collio, Italy","Isonzo del Friuli, Italy","Awatere Valley, New Zealand","Marlborough, New Zealand","Martinborough, New Zealand","Nelson, New Zealand","Waipara, New Zealand","Waipara Valley, New Zealand","Wairau Valley, New Zealand","Alentejano, Portugal","Lisboa, Portugal","Península de Setúbal, Portugal","Tejo, Portugal","Dealu Mare, Romania","Tarnave, Romania","Coastal Region, South Africa","Constantia, South Africa","Durbanville, South Africa","Hemel en Aarde, South Africa","Robertson, South Africa","Stellenbosch, South Africa","Upper Hemel en Aarde Valley, South Africa","Western Cape, South Africa","Jumilla, Spain","La Mancha, Spain","Navarra, Spain","Rueda, Spain","Vino de la Tierra de Castilla, Spain","Vino de la Tierra de Castilla y León, Spain","Adelaida District, US","Alexander Valley, US","Amador County, US","Ancient Lakes, US","Anderson Valley, US","Arroyo Seco, US","Bennett Valley, US","Calistoga, US","Carneros, US","Central Coast, US","Columbia Gorge (OR), US","Columbia Valley (WA), US","Coombsville, US","Dry Creek Valley, US","El Dorado, US","Fiddletown, US","Finger Lakes, US","Happy Canyon of Santa Barbara, US","High Valley, US","Horse Heaven Hills, US","Knights Valley, US","Lake County, US","Livermore Valley, US","Lodi, US","Long Island, US","Los Olivos District, US","Mendocino, US","Mendocino County, US","Mendocino Ridge, US","Middleburg, US","Monterey, US","Monterey County, US","Napa Valley, US","Napa-Sonoma, US","North Coast, US","North Fork of Long Island, US","Northern Sonoma, US","Oak Knoll District, US","Oakville, US","Paso Robles, US","Pine Mountain-Cloverdale Peak, US","Potter Valley, US","Red Hills Lake County, US","Red Mountain, US","Rogue Valley, US","Russian River Valley, US","Rutherford, US","San Bernabe, US","San Luis Obispo County, US","Santa Barbara County, US","Santa Cruz Mountains, US","Santa Margarita Ranch, US","Santa Maria Valley, US","Santa Ynez Valley, US","Sonoma Coast, US","Sonoma County, US","Sonoma County-Lake County, US","Sonoma Valley, US","Southern Oregon, US","St. Helena, US","Temecula Valley, US","Umpqua Valley, US","Willamette Valley, US","Willow Creek, US","Yakima Valley, US"
20160101,0.083947168,0.280670561,0.280670561,0.280670561,0.024003048,0.280670561,0.280670561,0.03987808,0.017399035,0.022860046,0.048641097,0.020320041,0.009525019,0.059309119,0.128397257,0.092075184,0.000508001,0.003175006,0.011557023,0.004445009,0.003429007,0.006477013,0,0.004445009,0.002413005,0.004445009,0.007747016,0.020828042,0.011557023,0.011557023,0.000508001,0.000508001,0.185801371,0.258445517,0.258445517,0.112522225,0.14490729,0.185801371,0.258445517,0.14028448,0.097790196,0.138780797,0.124962477,0.130556261,0.106680213,0.141732283,0.151003302,0.101219202,0.103251206,0.151257302,0.174371349,0.155448311,0.076327153,0.155448311,0.11010922,0.11010922,0.155448311,0.079248158,0.099695199,0.109728219,0.228473457,0.056261113,0.080391161,0.080391161,0.017145034,0.017145034,0.029591059,0.029591059,0.019685039,0.029591059,0.021590043,0.045339091,0.075946152,0.100838202,0.149606299,0.149606299,0.149606299,0.217805435,0.400990602,,0.122301245,0.379349758,0.143764287,0.293243586,0.381381762,0.277876556,0.137922276,0.220726441,0.154686309,0.277876556,0.362712725,0.264668529,0.201041402,0.04000508,0.107823216,0.070358141,0.079248158,0.359664719,0.43040386,,0.166497333,0.194564389,0.138430277,0.348361696,0.468165269,0.348361696,0.152019304,0.17526035,0.143764287,0.361061722,0.361061722,0.270891542,0.188785877,0.305562611,0.350647701,0.355854711,0.364744729,0.472059944,0.568199136,0.43040386,0.077089154,0.113030226,0.472059944,0.359664719,0.178816358,0.186182372,0.107823216,0.303149606,0.178689357,0.128524257,0.138430277,0.341503683,0.371493885,0.481457962,0.35511811,0.273939548,0.359664719,0.124460249,0.315976632,0.188722377,0.253619507,0.075311151
20160201,0.136573445,0.161145805,0.161145805,0.161145805,0.012761336,0.161145805,0.161145805,0.010317676,0.004480043,0.144718979,0.080505023,0.102362205,0.100868857,0.080640782,0.091094217,0.152864513,0,0,0.000135759,0,0,0.000135759,0,0,0,0,,0.001764866,0.000135759,0.000135759,0,0,0.15435786,,0.202009231,0.086478414,0.132229161,0.15435786,0.202009231,0.129025251,0.154629378,0.127874433,0.123198243,0.124264639,0.133043714,0.069508553,0.065164268,0.151099647,0.337225088,0.444610372,0.017241379,0.134129785,0.042628292,0.134129785,0.01466196,0.01466196,0.134129785,0.060548466,0.09435243,0.103040999,0.127884876,0.068150964,0.065164268,0.018734727,0.022264458,0.022264458,0.041134944,0.016426826,0.026065707,0.041134944,0.054710834,0.017512897,0.07846864,0.161145805,0.12503394,0.12503394,0.12503394,0.013032854,0.045452077,0.037605213,0.008145534,0.05511811,0.011539506,0.03801249,0.04778713,0.025522672,0.013032854,0.1519142,0.126663046,0.025522672,0.036654901,0.045750747,0.037605213,0.135894651,0.016969862,0.008145534,0.022400217,0.04534347,0.064621233,0.025386913,0.015204996,0.189112137,0.013983166,0.046022264,0.051316861,0.046022264,0.127749117,0.011539506,0.011539506,0.033396687,0.033396687,0.03679066,0.196443117,0.035161553,0.040591909,0.036994298,0.041496968,0.057969047,0.084442031,0.064621233,0.022943253,0.053760521,0.057969047,0.04534347,0.015204996,0.005837632,0.016969862,0.022671735,0.01099647,0.008009775,0.013983166,0.044664676,0.047544703,0.058104806,0.043551453,0.112272604,0.04534347,0.006516427,0.126120011,0.093809394,0.104670106,0.018870486
20160301,0.056896114,0.082296165,0.082296165,0.082296165,0.014351029,0.082296165,0.082296165,0.073787148,0.101346203,0.046609093,0.063881128,0.076708153,0.059182118,0.071247142,0.168656337,0.11480823,0.000127,0.017526035,0.000635001,0.000127,0.000508001,0,0,0.000127,0.000127,0.000127,0,0.034671069,0.000635001,0.000635001,0.000127,0.000127,0.102489205,0.132969266,0.132969266,0.100838202,0.135509271,0.102489205,0.132969266,0.127635255,0.111252222,0.127360088,0.114918665,0.115506731,0.092456185,0.087757175,0.082931166,0.182626365,0.121920244,0.109093218,0.062103124,0.212852425,0.022606045,0.212852426,0.043815088,0.043815088,0.212852426,0.043434087,0.052578105,0.045974092,0.03009906,0.055626111,0.056388113,0.050419101,0.061341123,0.061341123,0.056642113,0.035941072,0.055372111,0.056642113,0.014732029,0.026162052,0.034544069,0.12522225,0.065786132,0.065786132,0.065786132,0.114681229,0.300711201,0.256921514,0.037592075,0.31991364,0.083947168,0.248031496,0.291973584,0.212725425,0.100965202,0.142113284,0.169545339,0.212725425,0.238379477,0.205676911,0.256921514,0.074295149,0.08001016,0.031369063,0.024003048,0.278511557,0.302768605,0.141732283,0.112395225,0.073025146,0.092964186,0.286385573,0.342773685,0.286385573,0.072136144,0.1002032,0.083947168,0.236601473,0.236601473,0.233934468,0.078041656,0.235458471,0.259842519,0.248221996,0.269452205,0.364363728,,0.302768605,0.026289053,0.0999492,0.364363728,0.278511557,0.10515621,0.097917196,0.08001016,0.158750317,0.091567183,0.080772162,0.092964186,0.303657607,0.319142567,0.375920752,0.290830581,0.233299466,0.278511557,0.037465075,0.281432563,0.178054356,0.284099568,0.030861062
20160401,0.234120735,0.053412073,0.053412073,0.053412073,0.012467192,0.053412073,0.053412073,0.014435696,0.005774278,0.02808399,0.049606299,0.099868766,0.041994751,0.053018373,0.077559055,0.109973753,0.092650919,0.252624672,0.116010499,0.23175853,0.316272966,0.367060367,0.001181102,0.23175853,0.151312336,0.23175853,0.207217848,0.112073491,0.116010499,0.116010499,0.092650919,0.092650919,0.058792651,0.090419947,0.090419947,0.107086614,,0.058792651,0.090419947,0.126692913,0.160761155,0.12128508,0.105169462,0.112401575,0.101574803,0.019422572,0.013385827,0.148818898,0.141076115,0.091207349,0.059711286,0.057086614,0.041076115,0.057086614,0.043307087,0.043307087,0.057086614,0.103937008,0.154330709,0.149606299,0.243307086,0.084251968,0.15984252,0.031102362,0.082677165,0.082677165,0.054199475,0.061286089,0.095931758,0.054199475,0.028608924,0.081364829,0.136745407,0.101574803,0.194356955,0.194356955,0.194356955,0.020472441,0.048346457,0.090419947,0.037795276,0.055380577,0.024934383,0.056430446,0.052887139,0.041338583,0.014435696,0.038582677,0.017979003,0.041338583,0.053149606,0.068766404,0.090419947,0.089895013,0.010104987,0.028346457,0.004199475,0.05144357,0.049475066,0.060367454,0.064435696,0.130314961,0.009580053,0.045013123,0.060454943,0.045013123,0.091863517,0.029790026,0.024934383,0.045406824,0.045406824,0.058661417,0.133661417,0.055380577,0.058792651,0.052099738,0.048075241,0.063648294,0.073490814,0.049475066,0.006299213,0.030577428,0.063648294,0.051443569,0.028740158,0.01824147,0.010104987,0.048818898,0.020866142,,0.009580053,0.050918635,0.054734504,0.067454068,0.053149606,0.073228346,0.051443569,0.02335958,0.1,0.059186352,0.076902887,0.002887139
20160501,0.050927102,0.025654051,0.025654051,0.025654051,0.003175006,0.025654051,0.025654051,0.061341123,0.028956058,0.164719329,0.126873254,0.177419355,0.156591313,0.177927356,0.159512319,0.128143256,0.035433071,0.16014732,0.026289053,0.022479045,0.037973076,0.064389129,0.005969012,0.022479045,0.019177038,0.022479045,0.021082042,0.177165354,0.026289053,0.026289053,0.035433071,0.035433071,,0.098298197,0.098298197,0.191008382,0.213741427,0.126619253,0.098298197,0.215773431,0.222123444,0.213897735,0.215806562,0.217678435,0.146050292,0.017018034,0.011811024,0.164719329,0.272034544,0.18529337,0.07988316,0.150876302,0.165989332,0.150876302,0.072898146,0.072898146,0.150876302,0.16510033,0.187706375,0.217805435,0.212852426,0.131826264,0.258826517,0.04495809,0.033274067,0.033274067,0.024511049,0.01511303,0.031496063,0.024511049,0.012446025,0.026035052,0.072009144,0.128397257,0.117348235,0.117348235,0.117348235,0.011557023,0.02509525,,0.023749048,0.02997206,0.020320041,0.022987046,0.022479045,0.026797054,0.01016002,0.048006096,0.063119126,0.026797054,0.039116078,0.051244602,0.030734061,0.113030226,0.003302007,0.01016002,0.039243078,0.023495047,0.042418085,,0.023876048,0.143002286,0.003429007,0.010795022,0.026162052,0.010795022,0.259461519,0.028956058,0.020320041,0.03505207,0.03505207,0.028194056,0.14014478,0.02489205,0.027940056,0.031496063,0.020235374,0.027559055,0.035433071,0.042418085,0.043307087,0.016002032,0.027559055,0.023495047,0.031877064,0.006096012,0.003302007,0.022987046,0.006477013,,0.003429007,0.023495047,0.02482855,0.029718059,0.025298451,0.050546101,0.023495047,0.017653035,0.037719075,0.043942088,0.019050038,0.044323089
20160601,0.040944882,0.019685039,0.019685039,0.019685039,0.004986877,0.019685039,0.019685039,0.075065617,0.034120735,0.13503937,0.120603674,0.284645669,0.117979003,0.184645669,0.162598425,0.0835958,0.038451444,0.024015748,0.037270341,0.048425197,0.03175853,0.027034121,0.031627297,0.048425197,0.038057743,0.048425197,0.042257218,0.030183727,0.037270341,,0.038451444,0.038451444,0.082414698,0.069816273,0.069816273,0.144356955,,0.082414698,,0.134619422,0.160892388,0.13404965,0.129955495,0.13127734,0.211023622,0.001049869,0,0.210892388,0.443569553,0.18503937,0.084383202,0.124278215,0.090551181,0.124278215,0.042257218,0.042257218,0.124278215,0.00144357,0.001706037,0.00183727,0.008267717,0.095669291,0.223753281,0.007611549,0.158661417,0.158661417,0.087664042,0.12191601,0.146850394,0.087664042,0.02007874,0.006824147,0.001968504,0.057874016,0.015223097,0.015223097,0.015223097,0.000262467,0.018425197,,,0.026902887,0.000656168,0.012467192,0.011811024,0.009317585,0.000918635,0.025459318,0.037139108,0.009317585,0.01167979,0.009251969,,0.062467192,0.001312336,0.002099738,0.012992126,,0.025590551,0.004461942,0.000656168,0.070472441,0.000262467,0.024540682,0.012773403,0.024540682,0.265879265,0.015354331,0.000656168,0.009711286,0.009711286,0.017454068,0.07335958,0.009317585,0.009580053,0.009645669,0.011373578,0.016929134,0.026115486,0.025590551,0.020734908,0.019160105,0.016929134,0.009186352,,0.000918635,0.001312336,0.00144357,0.000393701,0.001706037,0.000262467,0.014041995,0.018091489,0.032939633,0.015931759,0.036351706,0.009186352,0.002624672,0.030971129,0.027296588,0.021653543,0.006430446
20160701,0.140589281,0.003429007,0.003429007,0.003429007,0.000889002,0.003429007,0.003429007,0.113665227,0.015621031,0.111887224,0.118745237,0.239014478,0.103251206,0.165735331,0.008636017,0.078867158,0.092075184,0.304546609,0.084328169,0.130937262,0.22009144,0.288671577,0.022098044,0.130937262,0.131826264,0.130937262,,0.401447803,0.084328169,0.084328169,0.092075184,0.092075184,,0.019685039,0.019685039,0.032131064,0.048260097,0.01993904,0.019685039,0.044246888,0.090932182,0.042076161,0.035372332,0.037549742,0.106045212,0.000508001,0,0.256667513,0.429641859,0.066040132,0.02514605,0.104648209,0.118491237,0.104648209,0.021844044,0.021844044,0.104648209,0.008128016,0.005969012,0.006858014,0.009525019,0.108585217,0.13487427,0.01003302,0.142748285,0.142748285,0.145796291,0.128397257,0.172212344,0.145796291,0.059436119,0.014097028,0.005842012,0.047371095,0.014732029,0.014732029,0.014732029,0,0,0,0.000508001,0.002921006,0.000254001,0.003683007,0.000127,0.004445009,0,0.009652019,0.017653035,0.004445009,0,0.005397511,0,0.067310135,0.001143002,0,0.009144018,0.000127,0,0.003683007,0.000381001,0.17005334,0,0.013208026,0.001016002,0.013208026,0.101473203,0.025654051,0.000254001,0,0,0.011811024,0.172466345,0.003683007,0.000381001,0.0001905,0.000592668,0.000889002,0.000381001,0,0.011049022,0.01485903,0.000889002,0.000127,0.025400051,0,0.001143002,0.001397003,0,0.002794006,0,0.000635001,0.000716644,0.001016002,0.002159004,0.029464059,0.000127,0.000127,0.044323089,0.023114046,0.028448057,0.004318009
20160801,0.03505207,0.000254001,0.000254001,0.000254001,0.000381001,0.000254001,0.000254001,0.058928118,0.046863094,0.059436119,0.068961138,0.216535433,0.081153162,0.086995174,0.077343155,0.08026416,0.000254001,0.163957328,0.002667005,0.009398019,0.029718059,0.033655067,0,0.009398019,0.001016002,0.009398019,,0.155829312,0.002667005,0.002667005,0.000254001,0.000254001,0.016637033,0.024384049,0.024384049,0.033147066,0.026289053,0.016637033,,0.024460249,0.026162052,0.023592739,0.020308495,0.022326645,0.068834138,0.001270003,0,0.078359157,0.343154686,0.091821184,0.104013208,0.070739141,0.090551181,0.070739141,0.052324105,0.052324105,0.070739141,0.002032004,0.005842012,0.009144018,0.002667005,0.058420117,0.147193294,0.010668021,0.094234188,0.094234188,0.083693167,0.0501651,0.097282195,0.083693167,0.038481077,0.005461011,0.000889002,0.019304039,0.005461011,0.005461011,0.005461011,0.000254001,0.000304801,0.000127,0.000254001,0.000508001,0,0.006477013,0,0.003810008,0,0.001524003,0.003302007,0.003810008,0,0.002286005,0.000127,0.123571247,0.000381001,0,0.000127,0,0,0.000889002,0.001143002,0.06502413,0,0.012446025,8.47E-05,0.012446025,0.111252222,0.027178054,0,0,0,0.016764034,0.063881128,0.004445009,0.000127,6.35E-05,0.000254001,0,0.000127,0,0.001143002,0.000381001,0,0,0.023368047,0.000127,0.000381001,0.000635001,0.000508001,0.00482601,0,0.001397003,0.001152074,0.000254001,0.002387605,0.000254001,0,0.000381001,0.01485903,0.003175006,0.011430023,0
20160901,0.09816273,0.00328084,0.00328084,0.00328084,0.001706037,0.00328084,0.00328084,0.139895013,0.031627297,0.064566929,0.050393701,0.07847769,0.070209974,0.044619423,0.038976378,0.056167979,0.000262467,0.054199475,0.000918635,0.000524934,0.004986877,0.003674541,0,0.000524934,0,0.000524934,0.000787402,0.027559055,0.000918635,,0.000262467,0.000262467,0.034776903,0.080446194,0.080446194,0.062860892,0.030577428,0.034776903,0.080446194,0.038293963,0.027034121,0.040823743,0.046644985,0.04555993,0.030446194,0.000656168,0.000656168,0.114829396,0.053674541,0.096981627,0.112860892,0.12191601,0.209186352,0.12191601,0.046587927,0.046587927,0.12191601,0.011417323,0.014435696,0.015223097,0.032152231,0.046194226,0.072440945,0.007611549,0.074540682,0.074540682,0.057874016,0.032283465,0.080183727,0.057874016,0.029396325,0.022440945,0.017060367,0.091863517,0.020997375,0.020997375,0.020997375,0.001706037,9.84E-05,0,0.012729659,0.002099738,0.001706037,0.00328084,0.000131234,0.002624672,0,0.019685039,0.020603675,0.002624672,0,0.006955381,0,0.086089239,0.001706037,0.002755906,0.010761155,0.000262467,0,0.003412074,0.001049869,0.097112861,0.000262467,0.006036745,0.000262467,0.006036745,0.17335958,0.022834646,0.001706037,0,0,0.007217848,0.105708661,0.002624672,0.001049869,0.000524934,0.000699913,0.000262467,0,0,0.019160105,0.001706037,0.000262467,0.000262467,0.019816273,0.00144357,0.001706037,0.004986877,0.001574803,0.005380577,0.000262467,0.000393701,0.000421822,0.000524934,0.001509186,0.002362205,0.000262467,0.007480315,0.015354331,0.010629921,0.005249344,0.006299213
20161001,0.156464313,0.073533147,0.073533147,0.073533147,0.008509017,0.073533147,0.073533147,0.060833122,0.014097028,0.073406147,0.103759207,0.109728219,0.082931166,0.131191262,0.04495809,0.098933198,0.016637033,0.134239268,0.03517907,0.037465075,0.057404115,0.06502413,0.000762002,0.037465075,0.014732029,0.037465075,0.041910084,0.111252222,0.03517907,0.03517907,0.016637033,0.016637033,0.029210058,0.059690119,0.059690119,0.037465075,0.092456185,0.029210058,0.059690119,0.082067564,0.075565151,0.075931498,0.055173328,0.062060791,0.084074168,0.000381001,0.002159004,0.119634239,0.199517399,0.107950216,0.164465329,0.131064262,0.101854204,0.131064262,0.050927102,0.050927102,0.131064262,0.072898146,0.078994158,0.079756159,0.160528321,0.126619253,0.126492253,0.003556007,0.018034036,0.018034036,0.020574041,0.008001016,0.017145034,0.020574041,0.007239015,0.067437135,0.068580137,0.089662179,0.042545085,0.042545085,0.042545085,,0.142468885,0.161671323,0.011557023,0.193548387,0.083312167,0.105537211,0.137795275,0.060579121,0.038862078,0.18529337,0.154686309,0.060579121,0.153670307,0.139128778,0.161671323,0.174498349,0.030353061,0.009652019,0.063373127,0.117475235,0.172085344,0.07505715,0.0665566,0.079629159,0.031115062,0.214376429,0.230928795,0.214376429,0.033401067,0.087757175,0.083312167,0.091567183,0.091567183,0.098933198,0.091313183,0.088646177,0.107886716,0.104521209,0.1502413,0.197993396,0.309245618,0.172085344,0.072517145,0.082804166,0.197993396,0.117475235,,0.045720091,0.030353061,0.096520193,0.062738125,0.033274067,0.031115062,0.14008128,0.154998925,0.204724409,0.09159597,0.21526543,0.117475235,0.00977902,0.369062738,0.237617475,0.298196596,0.054483109
